Protein1,Protein2,ShortestPath
NOP16,ZC3H11A,2
NOP16,PARP12,2
NOP16,ALDH18A1,2
NOP16,CSDA,2
NOP16,CCAR1,2
FAM120A,PTCD2,2
FAM120A,RRP12,2
FAM120A,MRTO4,2
FAM120A,THRAP3,2
FAM120A,NOP58,2
FAM120A,USP36,2
FAM120A,MLL3,2
FAM120A,PUM2,2
FAM120A,MRPL43,2
FAM120A,ZFR,2
FAM120A,RC3H2,3
FAM120A,ZC3H11A,2
FAM120A,PARP12,2
FAM120A,ALDH18A1,2
FAM120A,CSDA,2
FAM120A,CCAR1,2
PTCD2,RRP12,2
PTCD2,MRTO4,2
PTCD2,THRAP3,2
PTCD2,NOP58,2
PTCD2,USP36,2
PTCD2,MLL3,2
PTCD2,PUM2,2
PTCD2,MRPL43,2
PTCD2,ZFR,2
PTCD2,RC3H2,3
PTCD2,ZC3H11A,2
PTCD2,PARP12,2
PTCD2,ALDH18A1,2
PTCD2,CSDA,2
PTCD2,CCAR1,2
RRP12,MRTO4,2
RRP12,THRAP3,2
RRP12,NOP58,2
RRP12,USP36,2
RRP12,MLL3,2
RRP12,PUM2,2
RRP12,MRPL43,2
RRP12,ZFR,2
RRP12,RC3H2,3
RRP12,ZC3H11A,2
RRP12,PARP12,2
RRP12,ALDH18A1,2
RRP12,CSDA,2
RRP12,CCAR1,2
MRTO4,THRAP3,2
MRTO4,NOP58,2
MRTO4,USP36,2
MRTO4,MLL3,2
MRTO4,PUM2,2
MRTO4,MRPL43,2
MRTO4,ZFR,2
MRTO4,RC3H2,3
MRTO4,ZC3H11A,2
MRTO4,PARP12,2
MRTO4,ALDH18A1,2
MRTO4,CSDA,2
MRTO4,CCAR1,2
THRAP3,NOP58,2
THRAP3,USP36,2
THRAP3,MLL3,2
THRAP3,PUM2,2
THRAP3,MRPL43,2
THRAP3,ZFR,2
THRAP3,RC3H2,3
THRAP3,ZC3H11A,2
THRAP3,PARP12,2
THRAP3,ALDH18A1,2
THRAP3,CSDA,2
THRAP3,CCAR1,2
NOP58,USP36,2
NOP58,MLL3,2
NOP58,PUM2,2
NOP58,MRPL43,2
NOP58,ZFR,2
NOP58,RC3H2,3
NOP58,ZC3H11A,2
NOP58,PARP12,2
NOP58,ALDH18A1,2
NOP58,CSDA,2
NOP58,CCAR1,2
USP36,MLL3,2
USP36,PUM2,2
USP36,MRPL43,2
USP36,ZFR,2
USP36,RC3H2,3
USP36,ZC3H11A,2
USP36,PARP12,2
USP36,ALDH18A1,2
USP36,CSDA,2
USP36,CCAR1,2
MLL3,PUM2,2
MLL3,MRPL43,2
MLL3,ZFR,2
MLL3,RC3H2,3
MLL3,ZC3H11A,2
MLL3,PARP12,2
MLL3,ALDH18A1,2
MLL3,CSDA,2
MLL3,CCAR1,2
PUM2,MRPL43,2
PUM2,ZFR,2
PUM2,RC3H2,3
PUM2,ZC3H11A,2
PUM2,PARP12,2
PUM2,ALDH18A1,2
PUM2,CSDA,2
PUM2,CCAR1,2
MRPL43,ZFR,2
MRPL43,RC3H2,3
MRPL43,ZC3H11A,2
MRPL43,PARP12,2
MRPL43,ALDH18A1,2
MRPL43,CSDA,2
MRPL43,CCAR1,2
ZFR,RC3H2,3
ZFR,ZC3H11A,2
ZFR,PARP12,2
ZFR,ALDH18A1,2
ZFR,CSDA,2
ZFR,CCAR1,2
RC3H2,ZC3H11A,3
RC3H2,PARP12,3
RC3H2,ALDH18A1,3
RC3H2,CSDA,3
RC3H2,CCAR1,3
ZC3H11A,PARP12,2
ZC3H11A,ALDH18A1,2
ZC3H11A,CSDA,2
ZC3H11A,CCAR1,2
PARP12,ALDH18A1,2
PARP12,CSDA,2
PARP12,CCAR1,2
ALDH18A1,CSDA,2
ALDH18A1,CCAR1,2
CSDA,CCAR1,2
