Protein1,Protein2,ShortestPath
GNL3L,FMR1,2
GNL3L,UBA1,2
GNL3L,CSTF2,2
GNL3L,MECP2,2
GNL3L,PHF6,2
GNL3L,RBM10,2
GNL3L,GSPT2,2
GNL3L,SLC25A5,2
GNL3L,EIF1AX,2
GNL3L,NKRF,2
GNL3L,RPS4X,2
GNL3L,RBMX2,4
GNL3L,HTATSF1,2
GNL3L,LAS1L,2
GNL3L,MBNL3,2
GNL3L,HUWE1,2
GNL3L,RPL10,2
GNL3L,RPL15,2
GNL3L,RBMX,2
GNL3L,NONO,2
GNL3L,RPGR,3
GNL3L,UPF3B,2
GNL3L,RBM3,2
GNL3L,HNRNPH2,2
GNL3L,UTP14A,2
GNL3L,DKC1,2
GNL3L,MEX3C,2
GNL3L,DDX3X,2
GNL3L,FLNA,2
FMR1,UBA1,2
FMR1,CSTF2,2
FMR1,MECP2,2
FMR1,PHF6,2
FMR1,RBM10,2
FMR1,GSPT2,2
FMR1,SLC25A5,2
FMR1,EIF1AX,2
FMR1,NKRF,2
FMR1,RPS4X,2
FMR1,RBMX2,4
FMR1,HTATSF1,2
FMR1,LAS1L,2
FMR1,MBNL3,2
FMR1,HUWE1,2
FMR1,RPL10,2
FMR1,RPL15,2
FMR1,RBMX,2
FMR1,NONO,2
FMR1,RPGR,3
FMR1,UPF3B,2
FMR1,RBM3,2
FMR1,HNRNPH2,2
FMR1,UTP14A,2
FMR1,DKC1,2
FMR1,MEX3C,2
FMR1,DDX3X,2
FMR1,FLNA,2
UBA1,CSTF2,2
UBA1,MECP2,2
UBA1,PHF6,2
UBA1,RBM10,2
UBA1,GSPT2,2
UBA1,SLC25A5,2
UBA1,EIF1AX,2
UBA1,NKRF,2
UBA1,RPS4X,2
UBA1,RBMX2,4
UBA1,HTATSF1,2
UBA1,LAS1L,2
UBA1,MBNL3,2
UBA1,HUWE1,2
UBA1,RPL10,2
UBA1,RPL15,2
UBA1,RBMX,2
UBA1,NONO,2
UBA1,RPGR,3
UBA1,UPF3B,2
UBA1,RBM3,2
UBA1,HNRNPH2,2
UBA1,UTP14A,2
UBA1,DKC1,2
UBA1,MEX3C,2
UBA1,DDX3X,2
UBA1,FLNA,2
CSTF2,MECP2,2
CSTF2,PHF6,2
CSTF2,RBM10,2
CSTF2,GSPT2,2
CSTF2,SLC25A5,2
CSTF2,EIF1AX,2
CSTF2,NKRF,2
CSTF2,RPS4X,2
CSTF2,RBMX2,4
CSTF2,HTATSF1,2
CSTF2,LAS1L,2
CSTF2,MBNL3,2
CSTF2,HUWE1,2
CSTF2,RPL10,2
CSTF2,RPL15,2
CSTF2,RBMX,2
CSTF2,NONO,2
CSTF2,RPGR,3
CSTF2,UPF3B,2
CSTF2,RBM3,2
CSTF2,HNRNPH2,2
CSTF2,UTP14A,2
CSTF2,DKC1,2
CSTF2,MEX3C,2
CSTF2,DDX3X,2
CSTF2,FLNA,2
MECP2,PHF6,2
MECP2,RBM10,2
MECP2,GSPT2,2
MECP2,SLC25A5,2
MECP2,EIF1AX,2
MECP2,NKRF,2
MECP2,RPS4X,2
MECP2,RBMX2,4
MECP2,HTATSF1,2
MECP2,LAS1L,2
MECP2,MBNL3,2
MECP2,HUWE1,2
MECP2,RPL10,2
MECP2,RPL15,2
MECP2,RBMX,2
MECP2,NONO,2
MECP2,RPGR,2
MECP2,UPF3B,2
MECP2,RBM3,2
MECP2,HNRNPH2,2
MECP2,UTP14A,2
MECP2,DKC1,2
MECP2,MEX3C,2
MECP2,DDX3X,2
MECP2,FLNA,2
PHF6,RBM10,2
PHF6,GSPT2,2
PHF6,SLC25A5,2
PHF6,EIF1AX,2
PHF6,NKRF,2
PHF6,RPS4X,2
PHF6,RBMX2,4
PHF6,HTATSF1,2
PHF6,LAS1L,2
PHF6,MBNL3,2
PHF6,HUWE1,2
PHF6,RPL10,2
PHF6,RPL15,2
PHF6,RBMX,2
PHF6,NONO,2
PHF6,RPGR,3
PHF6,UPF3B,2
PHF6,RBM3,2
PHF6,HNRNPH2,2
PHF6,UTP14A,2
PHF6,DKC1,2
PHF6,MEX3C,2
PHF6,DDX3X,2
PHF6,FLNA,2
RBM10,GSPT2,2
RBM10,SLC25A5,2
RBM10,EIF1AX,2
RBM10,NKRF,2
RBM10,RPS4X,2
RBM10,RBMX2,4
RBM10,HTATSF1,2
RBM10,LAS1L,2
RBM10,MBNL3,2
RBM10,HUWE1,2
RBM10,RPL10,2
RBM10,RPL15,2
RBM10,RBMX,2
RBM10,NONO,2
RBM10,RPGR,3
RBM10,UPF3B,2
RBM10,RBM3,2
RBM10,HNRNPH2,2
RBM10,UTP14A,2
RBM10,DKC1,2
RBM10,MEX3C,2
RBM10,DDX3X,2
RBM10,FLNA,2
GSPT2,SLC25A5,2
GSPT2,EIF1AX,2
GSPT2,NKRF,2
GSPT2,RPS4X,2
GSPT2,RBMX2,4
GSPT2,HTATSF1,2
GSPT2,LAS1L,2
GSPT2,MBNL3,2
GSPT2,HUWE1,2
GSPT2,RPL10,2
GSPT2,RPL15,2
GSPT2,RBMX,2
GSPT2,NONO,2
GSPT2,RPGR,3
GSPT2,UPF3B,2
GSPT2,RBM3,2
GSPT2,HNRNPH2,2
GSPT2,UTP14A,2
GSPT2,DKC1,2
GSPT2,MEX3C,2
GSPT2,DDX3X,2
GSPT2,FLNA,2
SLC25A5,EIF1AX,2
SLC25A5,NKRF,2
SLC25A5,RPS4X,2
SLC25A5,RBMX2,4
SLC25A5,HTATSF1,2
SLC25A5,LAS1L,2
SLC25A5,MBNL3,2
SLC25A5,HUWE1,2
SLC25A5,RPL10,2
SLC25A5,RPL15,2
SLC25A5,RBMX,2
SLC25A5,NONO,2
SLC25A5,RPGR,3
SLC25A5,UPF3B,2
SLC25A5,RBM3,2
SLC25A5,HNRNPH2,2
