Protein1,Protein2,ShortestPath
SLC25A5,UTP14A,2
SLC25A5,DKC1,2
SLC25A5,MEX3C,2
SLC25A5,DDX3X,2
SLC25A5,FLNA,2
EIF1AX,NKRF,2
EIF1AX,RPS4X,2
EIF1AX,RBMX2,4
EIF1AX,HTATSF1,2
EIF1AX,LAS1L,2
EIF1AX,MBNL3,2
EIF1AX,HUWE1,2
EIF1AX,RPL10,2
EIF1AX,RPL15,2
EIF1AX,RBMX,2
EIF1AX,NONO,2
EIF1AX,RPGR,3
EIF1AX,UPF3B,2
EIF1AX,RBM3,2
EIF1AX,HNRNPH2,2
EIF1AX,UTP14A,2
EIF1AX,DKC1,2
EIF1AX,MEX3C,2
EIF1AX,DDX3X,2
EIF1AX,FLNA,2
NKRF,RPS4X,2
NKRF,RBMX2,4
NKRF,HTATSF1,2
NKRF,LAS1L,2
NKRF,MBNL3,2
NKRF,HUWE1,2
NKRF,RPL10,2
NKRF,RPL15,2
NKRF,RBMX,2
NKRF,NONO,2
NKRF,RPGR,3
NKRF,UPF3B,2
NKRF,RBM3,2
NKRF,HNRNPH2,2
NKRF,UTP14A,2
NKRF,DKC1,2
NKRF,MEX3C,2
NKRF,DDX3X,2
NKRF,FLNA,2
RPS4X,RBMX2,4
RPS4X,HTATSF1,2
RPS4X,LAS1L,2
RPS4X,MBNL3,2
RPS4X,HUWE1,2
RPS4X,RPL10,2
RPS4X,RPL15,2
RPS4X,RBMX,2
RPS4X,NONO,2
RPS4X,RPGR,3
RPS4X,UPF3B,2
RPS4X,RBM3,2
RPS4X,HNRNPH2,2
RPS4X,UTP14A,2
RPS4X,DKC1,2
RPS4X,MEX3C,2
RPS4X,DDX3X,2
RPS4X,FLNA,2
RBMX2,HTATSF1,4
RBMX2,LAS1L,4
RBMX2,MBNL3,4
RBMX2,HUWE1,4
RBMX2,RPL10,4
RBMX2,RPL15,4
RBMX2,RBMX,4
RBMX2,NONO,4
RBMX2,RPGR,5
RBMX2,UPF3B,4
RBMX2,RBM3,4
RBMX2,HNRNPH2,4
RBMX2,UTP14A,4
RBMX2,DKC1,4
RBMX2,MEX3C,4
RBMX2,DDX3X,4
RBMX2,FLNA,4
HTATSF1,LAS1L,2
HTATSF1,MBNL3,2
HTATSF1,HUWE1,2
HTATSF1,RPL10,2
HTATSF1,RPL15,2
HTATSF1,RBMX,2
HTATSF1,NONO,2
HTATSF1,RPGR,3
HTATSF1,UPF3B,2
HTATSF1,RBM3,2
HTATSF1,HNRNPH2,2
HTATSF1,UTP14A,2
HTATSF1,DKC1,2
HTATSF1,MEX3C,2
HTATSF1,DDX3X,2
HTATSF1,FLNA,2
LAS1L,MBNL3,2
LAS1L,HUWE1,2
LAS1L,RPL10,2
LAS1L,RPL15,2
LAS1L,RBMX,2
LAS1L,NONO,2
LAS1L,RPGR,3
LAS1L,UPF3B,2
LAS1L,RBM3,2
LAS1L,HNRNPH2,2
LAS1L,UTP14A,2
LAS1L,DKC1,2
LAS1L,MEX3C,2
LAS1L,DDX3X,2
LAS1L,FLNA,2
MBNL3,HUWE1,2
MBNL3,RPL10,2
MBNL3,RPL15,2
MBNL3,RBMX,2
MBNL3,NONO,2
MBNL3,RPGR,3
MBNL3,UPF3B,2
MBNL3,RBM3,2
MBNL3,HNRNPH2,2
MBNL3,UTP14A,2
MBNL3,DKC1,2
MBNL3,MEX3C,2
MBNL3,DDX3X,2
MBNL3,FLNA,2
HUWE1,RPL10,2
HUWE1,RPL15,2
HUWE1,RBMX,2
HUWE1,NONO,2
HUWE1,RPGR,3
HUWE1,UPF3B,2
HUWE1,RBM3,2
HUWE1,HNRNPH2,2
HUWE1,UTP14A,2
HUWE1,DKC1,2
HUWE1,MEX3C,2
HUWE1,DDX3X,2
HUWE1,FLNA,2
RPL10,RPL15,2
RPL10,RBMX,2
RPL10,NONO,2
RPL10,RPGR,3
RPL10,UPF3B,2
RPL10,RBM3,2
RPL10,HNRNPH2,2
RPL10,UTP14A,2
RPL10,DKC1,2
RPL10,MEX3C,2
RPL10,DDX3X,2
RPL10,FLNA,2
RPL15,RBMX,2
RPL15,NONO,2
RPL15,RPGR,3
RPL15,UPF3B,2
RPL15,RBM3,2
RPL15,HNRNPH2,2
RPL15,UTP14A,2
RPL15,DKC1,2
RPL15,MEX3C,2
RPL15,DDX3X,2
RPL15,FLNA,2
RBMX,NONO,2
RBMX,RPGR,3
RBMX,UPF3B,2
RBMX,RBM3,2
RBMX,HNRNPH2,2
RBMX,UTP14A,2
RBMX,DKC1,2
RBMX,MEX3C,2
RBMX,DDX3X,2
RBMX,FLNA,2
NONO,RPGR,3
NONO,UPF3B,2
NONO,RBM3,2
NONO,HNRNPH2,2
NONO,UTP14A,2
NONO,DKC1,2
NONO,MEX3C,2
NONO,DDX3X,2
NONO,FLNA,2
RPGR,UPF3B,3
RPGR,RBM3,3
RPGR,HNRNPH2,3
RPGR,UTP14A,3
RPGR,DKC1,3
RPGR,MEX3C,3
RPGR,DDX3X,3
RPGR,FLNA,3
UPF3B,RBM3,2
UPF3B,HNRNPH2,2
UPF3B,UTP14A,2
UPF3B,DKC1,2
UPF3B,MEX3C,2
UPF3B,DDX3X,2
UPF3B,FLNA,2
RBM3,HNRNPH2,2
RBM3,UTP14A,2
RBM3,DKC1,2
RBM3,MEX3C,2
RBM3,DDX3X,2
RBM3,FLNA,2
HNRNPH2,UTP14A,2
HNRNPH2,DKC1,2
HNRNPH2,MEX3C,2
HNRNPH2,DDX3X,2
HNRNPH2,FLNA,2
UTP14A,DKC1,2
UTP14A,MEX3C,2
UTP14A,DDX3X,2
UTP14A,FLNA,2
DKC1,MEX3C,2
DKC1,DDX3X,2
DKC1,FLNA,2
MEX3C,DDX3X,2
MEX3C,FLNA,2
DDX3X,FLNA,2
